Name,Product,Product Monitoring,Reboot Order,Replicate to PHL
ASPSAILPUB02,SAIL,Revenue Systems/Revenue Production/SAIL/APP,21,Yes
ASPSAILSQLP,SAIL,Revenue Systems/Revenue Production/SAIL/SQL,10,Yes
ASPSAILSQLT,SAIL,Revenue Systems/Revenue Test/SAIL/SQL,10,
ASPSAILTEST,SAIL,Revenue Systems/Revenue Test/SAIL/APP,10,Yes
ASPSAILTEST2,SAIL,Management/Server/Ghosts,11,Yes
ASPSAILWEB01,SAIL,Revenue Systems/Revenue Production/SAIL/WEB,20,Yes
ASPSAILWEB02,SAIL,Revenue Systems/Revenue Production/SAIL/WEB,20,Yes
ASPSAILWEBT,SAIL,Revenue Systems/Revenue Test/SAIL/WEB,31,Yes
ASPSONAR,,,,
ASPSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,
ASP-SQL1-DC,Mark IV,Revenue Systems/Revenue Production/MarkIV/SQL,10,Yes
ASPSQLMGMT,,Revenue Systems/Revenue Production/Infrastructure/myappro.com,,
ASPSSIS,,Revenue Systems/Revenue Production/Infrastructure/myappro.com,,
ASP-SVC-C003-DC,Mark IV,Revenue Systems/Revenue Production/MarkIV/APP,23,Yes
ASP-SVC-C007-DC,Mark IV,Revenue Systems/Revenue Production/MarkIV/APP,23,Yes
ASP-SVC-C009-DC,Mark IV,Revenue Systems/Revenue Production/MarkIV/APP,22,Yes
ASP-SVC-C012-DC,Mark IV,Revenue Systems/Revenue Production/MarkIV/APP,22,Yes
ASP-SVC-C015-DC,Mark IV,Revenue Systems/Revenue Production/MarkIV/APP,22,Yes
ASP-SVC-C017-DC,Mark IV,Revenue Systems/Revenue Production/MarkIV/APP,20,Yes
ASP-SVC-C1034-DC,Mark IV,Revenue Systems/Revenue Production/MarkIV/APP,23,Yes
ASP-SVC-C1056-DC,Mark IV,Revenue Systems/Revenue Production/MarkIV/APP,22,Yes
ASP-SVC-C1144-DC,Mark IV,Revenue Systems/Revenue Production/MarkIV/APP,,Yes
ASPTRANSFERCNEW,,Revenue Systems/Revenue Production/Infrastructure/myappro.com,,Yes
ASPTRANSFERNEW,,,,
ASP-TS3-DC,Mark IV,Revenue Systems/Revenue Production/MarkIV/WEB,23,Yes
ASP-TS4-DC,Mark IV,Revenue Systems/Revenue Production/MarkIV/WEB,21,Yes
ASPUTILSQL,,Revenue Systems/Revenue Production/Infrastructure/myappro.com,,
ASPVOPTIMIZER02,,Revenue Systems/Revenue Test/Infrastructure/myappro.com,31,Yes
ASP-WebApp-Apps,Mark IV,Revenue Systems/Revenue Production/Infrastructure/cypresssoftware.dom,32,Yes
ASP-WebApp-DMZ,Mark IV,Revenue Systems/Revenue Production/MarkIV/WEB,31,Yes
ASPWEBINT1.MYAPPRO.COM,,,,
