"VMHost","DVSwitch","DeviceName","MAC"
"jax-vs07.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:0e:ae:ec"
"jax-vs07.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:0e:af:38"
"jax-vs07.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:0e:af:3c"
"jax-vs08.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:0e:ae:f0"
"jax-vs08.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:0e:b0:98"
"jax-vs08.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:0e:ae:f4"
"jax-vs08.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:0e:b0:9c"
"jax-vs09.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:0e:af:dc"
"jax-vs09.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:0e:af:d8"
"jax-vs09.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:0e:ae:58"
"jax-vs09.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:0e:ae:5c"
"jax-vs10.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:0e:a7:2c"
"jax-vs10.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:0e:a7:28"
"jax-vs10.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:0e:af:b4"
"jax-vs10.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:0e:af:b0"
"jax-vs11.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:33:06:b0"
"jax-vs11.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:33:06:b4"
"jax-vs11.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:33:07:14"
"jax-vs11.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:33:07:10"
"jax-vs12.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:33:0b:cc"
"jax-vs12.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:33:0d:f8"
"jax-vs12.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:33:0d:fc"
"jax-vs12.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:33:0b:c8"
"jax-vs13.ff.p10","dvSwitch-JAX CNA Trunk","vmnic9","00:0e:1e:0c:db:24"
"jax-vs13.ff.p10","dvSwitch-JAX CNA Trunk","vmnic8","00:0e:1e:0c:db:20"
"jax-vs13.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:0c:dd:04"
"jax-vs13.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:0c:dd:00"
"jax-vs14.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:06:e8:b8"
"jax-vs14.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:06:e8:bc"
"jax-vs14.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:06:eb:80"
"jax-vs14.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:06:eb:84"
"jax-vs15.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:33:06:58"
"jax-vs15.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:33:06:5c"
"jax-vs15.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:32:1f:30"
"jax-vs15.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:32:1f:34"
"jax-vs16.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:33:06:54"
"jax-vs16.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:33:05:70"
"jax-vs16.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:33:05:74"
"jax-vs16.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:33:06:50"
"jax-vs17.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:33:0e:74"
"jax-vs17.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:33:07:18"
"jax-vs17.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:33:07:1c"
"jax-vs17.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:33:0e:70"
"jax-vs18.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:33:06:2c"
"jax-vs18.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:33:06:18"
"jax-vs18.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:33:06:1c"
"jax-vs18.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:33:06:28"
"jax-vs19.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:33:05:54"
"jax-vs19.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:33:05:50"
"jax-vs19.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:31:a5:cc"
"jax-vs19.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:31:a5:c8"
"jax-vs20.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:33:0d:c4"
"jax-vs20.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:33:0d:c0"
"jax-vs20.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:32:1f:1c"
"jax-vs20.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:32:1f:18"
"jxfc-vs01.fanatics.corp","dvSwitch-JXFC_iSCSI","vmnic3","00:10:18:7d:29:66"
"jxfc-vs01.fanatics.corp","dvSwitch-JXFC_iSCSI","vmnic2","00:10:18:7d:29:64"
"jxfc-vs01.fanatics.corp","dvSwitch-JXFC-Trunk","vmnic1","00:1c:23:c0:93:af"
"jxfc-vs01.fanatics.corp","dvSwitch-JXFC-Trunk","vmnic0","00:1c:23:c0:93:ad"
"jxfc-vs02.fanatics.corp","dvSwitch-JXFC-Trunk","vmnic0","00:1c:23:c5:28:53"
"jxfc-vs02.fanatics.corp","dvSwitch-JXFC_iSCSI","vmnic3","00:15:17:ea:01:b5"
"jxfc-vs02.fanatics.corp","dvSwitch-JXFC-Trunk","vmnic1","00:1c:23:c5:28:55"
"jxfc-vs02.fanatics.corp","dvSwitch-JXFC_iSCSI","vmnic2","00:15:17:ea:01:b4"
"jxfd-vs01.fanatics.corp","dvSwitch-JXFD_iSCSI","vmnic3","b8:2a:72:d8:24:57"
"jxfd-vs01.fanatics.corp","dvSwitch-JXFD-Trunk","vmnic2","b8:2a:72:d8:24:55"
"jxfd-vs01.fanatics.corp","dvSwitch-JXFD-Trunk","vmnic4","00:1b:21:b6:10:88"
"jxfd-vs01.fanatics.corp","dvSwitch-JXFD_iSCSI","vmnic5","00:1b:21:b6:10:89"
"jxfd-vs02.fanatics.corp","dvSwitch-JXFD_iSCSI","vmnic3","b8:2a:72:d8:0a:f2"
"jxfd-vs02.fanatics.corp","dvSwitch-JXFD-Trunk","vmnic4","00:1b:21:b6:10:96"
"jxfd-vs02.fanatics.corp","dvSwitch-JXFD-Trunk","vmnic2","b8:2a:72:d8:0a:f0"
"jxfd-vs02.fanatics.corp","dvSwitch-JXFD_iSCSI","vmnic5","00:1b:21:b6:10:97"
"jxfq-devqc-vs01.fanatics.corp","dvSwitch-fs-devqc-trunk","vmnic1","00:25:64:fb:77:67"
"jxfq-devqc-vs01.fanatics.corp","dvSwitch-fs-devqc-trunk","vmnic2","00:25:64:fb:77:69"
"jxfq-devqc-vs01.fanatics.corp","dvSwitch-fs-devqc-trunk","vmnic3","00:25:64:fb:77:6b"
"jxfq-devqc-vs01.fanatics.corp","dvSwitch-fs-devqc-trunk","vmnic0","00:25:64:fb:77:65"
"jxfq-devqc-vs02.fanatics.corp","dvSwitch-fs-devqc-trunk","vmnic1","14:fe:b5:cc:55:ec"
"jxfq-devqc-vs02.fanatics.corp","dvSwitch-fs-devqc-trunk","vmnic2","14:fe:b5:cc:55:ee"
