"VMHost","DVSwitch","DeviceName","MAC"
"ord-vs09.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic7","00:0e:1e:33:0d:74"
"ord-vs09.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic6","00:0e:1e:33:0d:70"
"ord-vs09.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic4","00:0e:1e:0c:db:88"
"ord-vs10.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic6","00:0e:1e:33:0f:80"
"ord-vs10.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic7","00:0e:1e:33:0f:84"
"ord-vs10.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic5","00:0e:1e:32:1f:0c"
"ord-vs10.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic4","00:0e:1e:32:1f:08"
"ord-vs11.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic5","00:0e:1e:32:1f:3c"
"ord-vs11.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic4","00:0e:1e:32:1f:38"
"ord-vs11.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic7","00:0e:1e:32:1e:f4"
"ord-vs11.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic6","00:0e:1e:32:1e:f0"
"ord-vs12.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic5","00:0e:1e:0b:f0:64"
"ord-vs12.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic7","00:0e:1e:33:0d:84"
"ord-vs12.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic4","00:0e:1e:0b:f0:60"
"ord-vs12.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic6","00:0e:1e:33:0d:80"
"ord-vs13.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic7","00:0e:1e:33:12:b4"
"ord-vs13.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic6","00:0e:1e:33:12:b0"
"ord-vs13.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic5","00:0e:1e:0c:de:1c"
"ord-vs13.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic4","00:0e:1e:0c:de:18"
"ord-vs14.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic5","00:0e:1e:0b:f0:84"
"ord-vs14.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic6","00:0e:1e:32:1e:e8"
"ord-vs14.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic4","00:0e:1e:0b:f0:80"
"ord-vs14.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic7","00:0e:1e:32:1e:ec"
"ord-vs15.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic5","00:0e:1e:33:15:a4"
"ord-vs15.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic4","00:0e:1e:33:15:a0"
"ord-vs15.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic7","00:0e:1e:32:1f:04"
"ord-vs15.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic6","00:0e:1e:32:1f:00"
"ord-vs16.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic7","00:0e:1e:06:eb:b4"
"ord-vs16.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic4","00:0e:1e:31:ac:f8"
"ord-vs16.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic6","00:0e:1e:06:eb:b0"
"ord-vs16.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic5","00:0e:1e:31:ac:fc"
"ord-vs17.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic4","00:0e:1e:33:15:b0"
"ord-vs17.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic5","00:0e:1e:33:15:b4"
