"Name","NumPorts","VDSwitch","Vlan"
"vlan1096-qc-be","128","dvSwitch-DEVQC_CNA_Trunk","1096"
"vlan1116-prf-s01-db","128","dvSwitch-DEVQC_CNA_Trunk","1116"
"vlan1120-prf-be","128","dvSwitch-DEVQC_CNA_Trunk","1120"
"vlan1128-dev-ewh-jxfw","128","dvSwitch-JAXF_Trunk","1128"
"vlan1132-qc-ewh-jxfw","128","dvSwitch-JAXF_Trunk","1132"
"vlan113-hadoop","128","dvSwitch-JAX CNA Trunk","113"
"vlan1144-dev-ewh-frow","128","dvSwitch-JAXF_Trunk","1144"
"vlan1144-prf-ewh","128","dvSwitch-DEVQC_CNA_Trunk","1144"
"vlan1150-qc-ewh-frow","128","dvSwitch-JAXF_Trunk","1150"
"vlan1160-dev-ewh-fakw","128","dvSwitch-JAXF_Trunk","1160"
"vlan1164-qc-ewh-fakw","128","dvSwitch-JAXF_Trunk","1164"
"vlan11-mgmt","128","dvSwitch-JAXF_Trunk","11"
"vlan120-findb","128","dvSwitch-JAX CNA Trunk","120"
"vlan12-Corp-WordPress","128","dvSwitch-JAXF_Trunk","12"
"vlan202-bastion","128","dvSwitch-JAX CNA Trunk","202"
"vlan4-cs-vdi","128","dvSwitch-JAXF_Trunk","4"
"vlan4-jaxmw","128","dvSwitch-JAX CNA Trunk","4"
"vlan5-corp-dmz","128","dvSwitch-JAXF_Trunk","5"
"vlan6-corp-servers","128","dvSwitch-JAXF_Trunk","6"
"vlan7-corp-db","128","dvSwitch-JAXF_Trunk","7"
"vlan8-corp-vdi","128","dvSwitch-JAXF_Trunk","8"
"vlan9-corp-bastion","128","dvSwitch-JAXF_Trunk","9"
